"name","abstract","authors","year","base","analysis","review"
"Thermal hydraulic model of the molten salt reactor experiment with the NEAMS system analysis module","System analysis codes have a long history of providing best-estimate and conservative safety analysis for both light water and advanced reactor technologies, including molten salt reactors. As interest continues to expand with advanced reactor concepts, system analysis codes will need revisions to accommodate the behavior of these technologies. Legacy system analysis codes will need to be updated to the latest numerical techniques to shorten execution time and increase the accuracy of results. One example of a modern system analysis code that already encompasses these characteristics is the System Analysis Module (SAM). One key objective of this paper was to review available information for system code modeling of the Molten Salt Reactor Experiment (MSRE) from sources in the open literature and collect the information from these open sources in one place for the first time. This supports the potential objective of developing an open specification for system code analysis for MSRE steady state and transients with and without reactor kinetics. Data from actual MSRE tests will serve as the basis for code-to-code comparison exercises, including the MSRE zero power physics tests, the fuel pump start-up and coast down tests, and the natural circulation transient. The objective is to produce a code-to-code benchmark with a standardized set of comparison problems, recognizing the limitations of the original data. To demonstrate an initial application of this objective and the usefulness of compiling this open data, two Molten Salt Reactor Experiment (MSRE)-related models were developed to evaluate SAM for liquid fueled molten salt reactors. One model was the SAM MSRE hydraulic mockup, which provided experimental data for pressure drop measurements. The second model was the complete MSRE primary loop. The MSRE primary loop model incorporated a fluoride salt fuel/coolant with heat transfer in both the core and heat exchanger. For both the hydraulic mockup and MSRE primary loop models, a holistic 1-D system description was built using open documentation, an open description that can be readily modified and applied for any system analysis code. SAM results for the pressure drop of the hydraulic mockup model were within 6% with measurements. Coolant temperatures for the primary loop model matched the expected axial change in temperature from historical calculations. Using alternative coolant properties obtained from the literature, corresponding to salts with different actinide contents, returned similar trends in core temperature profiles. A thermal hydraulic demonstration of a loss-of-flow transient showed the importance of coupling SAM thermal hydraulic analysis to neutronics. This coupling is essential for simulating MSR transients with system analysis codes.","Adrian M. Leandro and Florent Heidet and Rui Hu and Nicholas R. Brown",2019,"[""Science Direct"",""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"DFMDEF18: A C-code for the double folding interaction potential of a spherical nucleus with deformed nucleus","This is a new version of the DFMDEF code published earlier. The new version is designed to obtain the nucleus–nucleus potential between two nuclei (one of which may be deformed) by using the double folding model (DFM). In particular the code enables to find the Coulomb barrier. The new version allows the user to employ his (her) own charge, proton, and neutron density distributions. The main functionalities of the original code (the nucleus–nucleus potential as a function of the incident angle and the distance between the centers of mass of colliding nuclei; the Coulomb barrier characteristics) have not been modified.
New version program summary
Program title: DFMDEF18 Program Files doi:http://dx.doi.org/10.17632/y9pwd2p24z.1 Licensing provisions: CC0 1.0 Programming language: C Journal reference of previous version: Comp. Phys. Comm. 184 (2013) 172 Does the new version supersede the previous version? Yes Nature of problem: The code calculates in a semimicroscopic way the bare interaction potential between two colliding nuclei one of which can be deformed and axially symmetric. The potential is evaluated as a function of the center of mass distance and the angle between the axis of symmetry and the beam direction. The heights and the positions of the Coulomb barriers are found. Dependence of the barrier parameters upon the characteristics of the effective NN forces (like, e.g. the range of the exchange part of the nuclear term) as well as upon the parameters of the density distributions can be investigated. Method of solution: The nucleus–nucleus potential is calculated using the double folding model with the Coulomb and the effective M3Y NN interactions. For the direct parts of the Coulomb and the nuclear terms, the Fourier transform method is used. In order to calculate the exchange parts, the density matrix expansion method is applied. Reason for new version: Many users asked us how to implement their own density distributions in the code. Now this option has been added. Summary of revisions: 1. Additional features of DFMDEF18:Projectile and target densities as input files In the DFMDEF [1, 2], only the Woods–Saxon profile for the charge, proton, and neutron density distributions was used. In the new version, DFMDEF18, the user can use the same profile, but there is an option to provide six input files <inp_rhoP_Z.c>, <inp_rhoP_N.c>, <inp_rhoP_q.c>, <inp_rhoT_Z.c>, <inp_rhoT_N.c>, and <inp_rhoT_q.c>similar to what was done in [3]. In these files the proton (_Z), neutron (_N), and charge (_q) density distributions are defined for the projectile (P) and target (T) nuclei as functions of the distance from the nucleus center (r) and the zenith angle (the_deg). We will refer to this set of six files as to “rho-input files”. The technical explanation of the rho-input files might be found in file <Program_changes.txt>(subsection 2.11). The values of the densities required for producing the interaction potential are found by means of the following interpolating polynomial. In order to avoid the overlap in notations for the zenith angle, instead of the traditional θ, we use here Θ. (1)ρr,Θ=ρr0,Θ0∗r−r1r0−r1∗r−r2r0−r2∗Θ−Θ1Θ0−Θ1∗Θ−Θ2Θ0−Θ2+ρr1,Θ0∗r−r0r1−r0∗r−r2r1−r2∗Θ−Θ1Θ0−Θ1∗Θ−Θ2Θ0−Θ2+ρr2,Θ0∗r−r1r2−r1∗r−r0r2−r0∗Θ−Θ1Θ0−Θ1∗Θ−Θ2Θ0−Θ2+ρr0,Θ1∗r−r1r0−r1∗r−r2r0−r2∗Θ−Θ0Θ1−Θ0∗Θ−Θ2Θ1−Θ2+ρr0,Θ2∗r−r1r0−r1∗r−r2r0−r2∗Θ−Θ1Θ2−Θ1∗Θ−Θ0Θ2−Θ0+ρr1,Θ1∗r−r0r1−r0∗r−r2r1−r2∗Θ−Θ0Θ1−Θ0∗Θ−Θ2Θ1−Θ2+ρr1,Θ2∗r−r0r1−r0∗r−r2r1−r2∗Θ−Θ1Θ2−Θ1∗Θ−Θ0Θ2−Θ0+ρr2,Θ1∗r−r1r2−r1∗r−r0r2−r0∗Θ−Θ0Θ1−Θ0∗Θ−Θ2Θ1−Θ2+ρr2,Θ2∗r−r1r2−r1∗r−r0r2−r0∗Θ−Θ1Θ2−Θ1∗Θ−Θ0Θ2−Θ0.Thus the density at the point with arbitrary coordinates r,Θ is determined by the nine values of the density ρri,Θi from the tables provided by user. The values r0,r1,r2 (Θ0,Θ1,Θ2) are the closest ones to the necessary r (Θ), and the interval r0÷r2 (Θ0÷Θ2) always contains the value ofr (Θ). This interpolation works rather accurately. However, due to the inevitable numerical errors in the derivatives entering the kF (see Eq. (26) in Ref. [1]) the value of kF2 sometimes becomes negative. Therefore in the present code we keep only zero-order term calculating kF as follows (2)kF=1.5π2ρAr→1∕3.The quality of this approximation is illustrated by Fig. 1. In Fig. 1 a the Coulomb barrier heights obtained using the earlier published code [1] (line with symbols, Vb1) and the present code (line without symbols, Vbp) are shown. One sees that two codes produce very close results. To quantify this statement we present in Fig. 1 b the fractional difference between the barrier heights (3)ε=Vb1Vbp−1.Since the fractional difference does not exceed 0.5% we believe the approximation (2) can beaccepted. The original version of the code [1] allowed performing the calculations of the strong (nuclear) term of the nucleus–nucleus interaction potential in two different ways. Namely, the phenomenological Woods–Saxon parametrization [4, 5] and semimicroscopic double folding calculations could be used. In order to use the Woods–Saxon parametrization it is necessary to know the deformation parameters of the target nucleus. If the code uses the rho-input files for the densities provided by the user, such parameters can be absent. Therefore the Woods–Saxon parametrization for the potential is removed from the present version of the code. The Woods–Saxon approximation of the calculated DFM nuclear term of the potential is also removed for the same reason. Thus in the present code only the options concerning the double folding calculations remain. 2. The program The code consists now of 8 files and one header file. It reads the data from 8 input files and prints the results into two output files. For specific details regarding the changes in each source file see the file <Program_changes.txt>. The main input file has been split into two files: <inp_dfpdef.c> and <inp_dens.c>. Their description as well as the description of the output file might be also found in the file <Program_changes.txt>. References[1]I. I. Gontchar, M. V. Chushnyakova, Comput. Phys. Commun. 184 (2013) 172.[2]I. I. Gontchar, D. J. Hinde, M. Dasgupta, C. R. Morton, J. O. Newton, Phys. Rev. C 73 (2006) 034610.[3]I. I. Gontchar, M. V. Chushnyakova, Comput. Phys. Commun. 206 (2016) 97.[4]I.I. Gontchar, M. Dasgupta, D. J. Hinde, R. D. Butt, A. Mukherjee, Phys. Rev. C 65 (2002) 034610.[5]I.I. Gontchar, M. Dasgupta, D. J. Hinde, J. O. Newton, Phys. At. Nucl. 69 (2006) 1428Appendix TEST RUN OUTPUT Input file <inp_dfpdef.c>  Output file <out_dfmsph.c> ","I.I. Gontchar and M.V. Chushnyakova",2018,"[""Science Direct""]","Rejeitado: CR9","Rejeitado: CR9"
"PFMCal : Photonic force microscopy calibration extended for its application in high-frequency microrheology","The present document is an update of the previously published MatLab code for the calibration of optical tweezers in the high-resolution detection of the Brownian motion of non-spherical probes [1]. In this instance, an alternative version of the original code, based on the same physical theory [2], but focused on the automation of the calibration of measurements using spherical probes, is outlined. The new added code is useful for high-frequency microrheology studies, where the probe radius is known but the viscosity of the surrounding fluid maybe not. This extended calibration methodology is automatic, without the need of a user’s interface. A code for calibration by means of thermal noise analysis [3] is also included; this is a method that can be applied when using viscoelastic fluids if the trap stiffness is previously estimated [4]. The new code can be executed in MatLab and using GNU Octave.
New version program summary
Program Title: PFMCal Program Files doi:http://dx.doi.org/10.17632/s59f3gz729.1 Licensing provisions: GPLv3 Programming language: MatLab 2016a (MathWorks Inc.) and GNU Octave 4.0 Operating system: Linux and Windows. Supplementary material: A new document README.pdf includes basic running instructions for the new code. Journal reference of previous version: Computer Physics Communications, 196 (2015) 599 Does the new version supersede the previous version?: No. It adds alternative but compatible code while providing similar calibration factors. Nature of problem (approx. 50–250 words): The original code uses a MatLab-provided user’s interface, which is not available in GNU Octave, and cannot be used outside of a proprietary software as MatLab. Besides, the process of calibration when using spherical probes needs an automatic method when calibrating big amounts of different data focused to microrheology. Solution method (approx. 50–250 words): The new code can be executed in the latest version of MatLab and using GNU Octave, a free and open-source alternative to MatLab. This code generates an automatic calibration process which requires only to write the input data in the main script. Additionally, we include a calibration method based on thermal noise statistics, which can be used with viscoelastic fluids if the trap stiffness is previously estimated. Reasons for the new version: This version extends the functionality of PFMCal for the particular case of spherical probes and unknown fluid viscosities. The extended code is automatic, works in different operating systems and it is compatible with GNU Octave. Summary of revisions: The original MatLab program in the previous version, which is executed by PFMCal.m, is not changed. Here, we have added two additional main archives named PFMCal_auto.m and PFMCal_histo.m, which implement automatic calculations of the calibration process and calibration through Boltzmann statistics, respectively. The process of calibration using this code for spherical beads is described in the README.pdf file provided in the new code submission. Here, we obtain different calibration factors, β (given in μm/V), according to [2], related to two statistical quantities: the mean-squared displacement (MSD), βMSD, and the velocity autocorrelation function (VAF), βVAF. Using that methodology, the trap stiffness, k, and the zero-shear viscosity of the fluid, η, can be calculated if the value of the particle’s radius, a, is previously known. For comparison, we include in the extended code the method of calibration using the corner frequency of the power-spectral density (PSD) [5], providing a calibration factor βPSD. Besides, with the prior estimation of the trap stiffness, along with the known value of the particle’s radius, we can use thermal noise statistics to obtain calibration factors, β, according to the quadratic form of the optical potential, βE, and related to the Gaussian distribution of the bead’s positions, βσ2. This method has been demonstrated to be applicable to the calibration of optical tweezers when using non-Newtonian viscoelastic polymeric liquids [4]. An example of the results using this calibration process is summarized in Table 1. Using the data provided in the new code submission, for water and acetone fluids, we calculate all the calibration factors by using the original PFMCal.m and by the new non-GUI code PFMCal_auto.m and PFMCal_histo.m. Regarding the new code, PFMCal_auto.m returns η, k, βMSD, βVAF and βPSD, while PFMCal_histo.m provides βσ2 and βE. Table 1 shows how we obtain the expected viscosity of the two fluids at this temperature and how the different methods provide good agreement between trap stiffnesses and calibration factors. Additional comments including Restrictions and Unusual features (approx. 50–250 words): The original code, PFMCal.m, runs under MatLab using the Statistics Toolbox. The extended code, PFMCal_auto.m and PFMCal_histo.m, can be executed without modification using MatLab or GNU Octave. The code has been tested in Linux and Windows operating systems. References[1]A. Butykai, F. Mor, R. Gaál, P. Domínguez-García, L. Forró, J. S., Calibration of optical tweezers with non-spherical probes via high-resolution detection of brownian motion, Comput. Phys. Commun. 196 (2015) 599–610.[2]M. Grimm, T. Franosch, S. Jeney, High-resolution detection of brownian motion for quantitative optical tweezers experiments, Phys. Rev. E 86 (2012) 021912.[3]E.-L. Florin, A. Pralle, E. H. K. Stelzer, J. K. H. Hörber, Photonic force microscope calibration by thermal noise analysis, Appl. Phys. A 66 (1998) S75–S78.[4]P. Domínguez-García, L. Forró, S. Jeney, Interplay between optical, viscous, and elastic forces on an optically trapped brownian particle immersed in a viscoelastic fluid, Appl. Phys. Lett. 109 (14) (2016) 143702.[5]K. Berg-Sørensen, H. Flyvbjerg, Power spectrum analysis for optical tweezers, Rev. Sci. Instrum. 75 (3) (2004) 594–612.","A. Butykai and P. Domínguez-García and F.M. Mor and R. Gaál and L. Forró and S. Jeney",2017,"[""Science Direct""]","Rejeitado: CR9","Rejeitado: CR9"
"A Comparison of Natural Language Processing Methods for Automated Coding of Motivational Interviewing","Motivational interviewing (MI) is an efficacious treatment for substance use disorders and other problem behaviors. Studies on MI fidelity and mechanisms of change typically use human raters to code therapy sessions, which requires considerable time, training, and financial costs. Natural language processing techniques have recently been utilized for coding MI sessions using machine learning techniques, rather than human coders, and preliminary results have suggested these methods hold promise. The current study extends this previous work by introducing two natural language processing models for automatically coding MI sessions via computer. The two models differ in the way they semantically represent session content, utilizing either 1) simple discrete sentence features (DSF model) and 2) more complex recursive neural networks (RNN model). Utterance- and session-level predictions from these models were compared to ratings provided by human coders using a large sample of MI sessions (N=341 sessions; 78,977 clinician and client talk turns) from 6 MI studies. Results show that the DSF model generally had slightly better performance compared to the RNN model. The DSF model had “good” or higher utterance-level agreement with human coders (Cohen's kappa>0.60) for open and closed questions, affirm, giving information, and follow/neutral (all therapist codes); considerably higher agreement was obtained for session-level indices, and many estimates were competitive with human-to-human agreement. However, there was poor agreement for client change talk, client sustain talk, and therapist MI-inconsistent behaviors. Natural language processing methods provide accurate representations of human derived behavioral codes and could offer substantial improvements to the efficiency and scale in which MI mechanisms of change research and fidelity monitoring are conducted.","Michael Tanana and Kevin A. Hallgren and Zac E. Imel and David C. Atkins and Vivek Srikumar",2016,"[""Science Direct""]","Rejeitado: CR9","Rejeitado: CR9"
"How can a recurrent neurodynamic predictive coding model cope with fluctuation in temporal patterns? Robotic experiments on imitative interaction","The current paper examines how a recurrent neural network (RNN) model using a dynamic predictive coding scheme can cope with fluctuations in temporal patterns through generalization in learning. The conjecture driving this present inquiry is that a RNN model with multiple timescales (MTRNN) learns by extracting patterns of change from observed temporal patterns, developing an internal dynamic structure such that variance in initial internal states account for modulations in corresponding observed patterns. We trained a MTRNN with low-dimensional temporal patterns, and assessed performance on an imitation task employing these patterns. Analysis reveals that imitating fluctuated patterns consists in inferring optimal internal states by error regression. The model was then tested through humanoid robotic experiments requiring imitative interaction with human subjects. Results show that spontaneous and lively interaction can be achieved as the model successfully copes with fluctuations naturally occurring in human movement patterns.","Ahmadreza Ahmadi and Jun Tani",2017,"[""Science Direct""]","Rejeitado: CR9","Rejeitado: CR9"
"Experimental fatigue crack growth behavior and predictions under multiaxial variable amplitude service loading histories","This study presents experimental crack growth data for naturally initiated fatigue cracks in tubular specimens of 2024-T3 aluminum alloy subjected to both uniaxial and multiaxial variable amplitude flight loading spectra. Experimental crack growth behavior is compared to predictions based on two state-of-the-art analysis codes: UniGrow and FASTRAN. UniGrow is based on the idea that residual stress distributions surrounding the crack tip are responsible for causing load sequence effects in variable amplitude crack growth, while FASTRAN attributes these effects to varying degrees of plasticity induced closure in the crack wake. For variable amplitude fatigue tests performed under pure axial nominal loading conditions, both UniGrow and FASTRAN analyses were found to produce conservative growth life predictions despite good agreement with constant amplitude crack growth data. For variable amplitude torsion and combined axial-torsion crack growth analyses, however, the conservatism in growth life predictions was found to reduce. This is attributed to multiaxial nominal stress state effects, such as T-stress and mixed-mode crack growth, which are not accounted for in either UniGrow or FASTRAN, but were observed in constant amplitude crack growth tests to increase experimental crack growth rates. Additionally, by comparing experimental crack growth lives between tests performed using full and edited versions of the same loading history, it was found that a 94% reduction in loading history length resulted in differences in experimental crack growth life of less than a factor of 5. Since cracks in this study were initiated naturally, the effect of initial crack geometry assumptions on crack growth predictions was also investigated.","Nicholas R. Gates and Ali Fatemi",2017,"[""Science Direct""]","Rejeitado: CR9","Rejeitado: CR9"
"GenASiS   Basics: Object-oriented utilitarian functionality for large-scale physics simulations (Version 2)","GenASiSBasics provides Fortran 2003 classes furnishing extensible object-oriented utilitarian functionality for large-scale physics simulations on distributed memory supercomputers. This functionality includes physical units and constants; display to the screen or standard output device; message passing; I/O to disk; and runtime parameter management and usage statistics. This revision–Version 2 of Basics–makes mostly minor additions to functionality and includes some simplifying name changes.
New version program summary
Program Title: SineWaveAdvection, SawtoothWaveAdvection, and RiemannProblem (fluid dynamics example problems illustrating GenASiSBasics); ArgonEquilibrium and ClusterFormation (molecular dynamics example problems illustrating GenASiSBasics) Program Files doi:http://dx.doi.org/10.17632/6w9ygpygmc.1 Licensing provisions: GPLv3 Programming language: Fortran 2003 (tested with gfortran 6.1.0, Intel Fortran 16.0.3, Cray Compiler 8.5.3) Journal reference of previous version: Computer Physics Communications, 196 (2015) 506 Does the new version supersede the previous version?: Yes Reasons for the new version: This version makes mostly minor additions to functionality and includes some simplifying name changes. Summary of revisions: Several additions to functionality are minor. Two new singleton objects are KIND_SMALL and KIND_TINY, for smaller sized numbers than those specified by the previously available KIND_DEFAULT. The class MeasuredValueForm can now handle some more complicated cases of unit string processing. The numerical values in the CONSTANT singleton have been updated to 2016 values [3], and CONSTANT and UNIT contain a few additional members. A new class TimerForm can be used to track the wall time occupied by various segments of code. The PROGRAM_HEADER singleton now contains an array member of this new class. With calls like the user can initialize their own timers; on return iMyTimer contains the index of the newly initialized timer. The calls and should surround the block of code to be timed. The information displayed by calling the ShowStatistics method of PROGRAM_HEADER includes data from all initialized timers, including one for overall execution time which is present by default. The code now expects to be compiled with OpenMP, typically by applying compiler flags. Strictly speaking this is only required for the PROGRAM_HEADER singleton, which queries the number of threads via a library call. In GenASiSBasics, OpenMP directives (which appear as comments as far as the Fortran 2003 standard is concerned) are only used in the Clear and Copy commands. There have been a number of name changes, mostly for simplification and consistency. These include the classes in ArrayArrays, where for example ArrayInteger_1D_Form is now simply Integer_1D_Form. Similar streamlining changes have been made to MessagePassing classes: IncomingMessageArrayRealForm is now MessageIncoming_1D_R_Form, for instance. The class VariableGroupArrayMetadata is now VariableGroup_1D_Form. The name ParametersStreamForm has been changed by one character (deletion of an s) to ParameterStreamForm. The member Selected of VariableGroupForm has been changed to iaSelected, where the prefix ia is a conventional prefix we use for an array of array indices. The interface and functionality of the SetGrid member of StructuredGridImageForm have been modified so as not to include boundary cells exterior to the computational domain, which prevented display of the computational domain in 3D plots with VisIt [4] unless a Box operator was applied. See the fluid dynamics examples for the modified usage. Finally, version 4.10 of the Silo library [2] introduced an include file named silo_f9x.inc, which the FileSystem classes of GenASiSBasics now expect to be available instead of silo.inc. Nature of problem: By way of illustrating GenASiSBasics functionality, solve example fluid dynamics and molecular dynamics problems. Solution method: For fluid dynamics examples, finite-volume. For molecular dynamics examples, leapfrog and velocity-Verlet integration. External routines/libraries: MPI [1] and Silo [2] Additional comments including Restrictions and Unusual features: The example problems named above are not ends in themselves, but serve to illustrate our object-oriented approach and the functionality available though GenASiSBasics. In addition to these more substantial examples, we provide individual unit test programs for each of the classes comprised by GenASiSBasics. GenASiSBasics is available in the CPC Program Library and also at https://github.com/GenASiS. [1]http://www.mcs.anl.gov/mpi/[2]https://wci.llnl.gov/simulation/computer-codes/silo[3]C. Patrignani et al. (Particle Data Group), Chin. Phys. C 40 (2016) 100001[4]https://wci.llnl.gov/simulation/computer-codes/visit","Christian Y. Cardall and Reuben D. Budiardja",2017,"[""Science Direct""]","Rejeitado: CR9","Rejeitado: CR9"
"Assessment of ASSERT-PV for prediction of post-dryout heat transfer in CANDU bundles","Atomic Energy of Canada Limited (AECL) has developed the subchannel thermalhydraulics code ASSERT-PV for the Canadian nuclear industry. The recently released ASSERT-PV 3.2 provides enhanced models for improved predictions of subchannel flow distribution, critical heat flux (CHF), and post-dryout (PDO) heat transfer in horizontal CANDU fuel channels. This paper presents results of an assessment of the new code version against PDO tests performed during five full-size CANDU bundle experiments conducted between 1992 and 2009 by Stern Laboratories (SL), using 28-, 37- and 43-element bundles. A total of 10 PDO test series with varying pressure-tube creep and/or bearing-pad height were analyzed. The SL experiments encompassed the bundle geometries and range of flow conditions for the intended ASSERT-PV applications for existing CANDU reactors. Code predictions of maximum PDO fuel-sheath temperature were compared against measurements from the SL PDO tests to quantify the code's prediction accuracy. The prediction statistics using the recommended model set of ASSERT-PV 3.2 were compared to those from previous code versions. Furthermore, separate-effects sensitivity studies quantified the contribution of each PDO model change or enhancement to the improvement in PDO heat transfer prediction. Overall, the assessment demonstrated significant improvement in prediction of PDO sheath temperature in horizontal fuel channels containing CANDU bundles.","Z. Cheng and Y.F. Rao and G.M. Waddington",2014,"[""Science Direct"",""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"HOTB: High precision parallel code for calculation of four-particle harmonic oscillator transformation brackets","This new version of the HOTB program for calculation of the three and four particle harmonic oscillator transformation brackets provides some enhancements and corrections to the earlier version (Germanas et al., 2010) [1]. In particular, new version allows calculations of harmonic oscillator transformation brackets be performed in parallel using MPI parallel communication standard. Moreover, higher precision of intermediate calculations using GNU Quadruple Precision and arbitrary precision library FMLib [2] is done. A package of Fortran code is presented. Calculation time of large matrices can be significantly reduced using effective parallel code. Use of Higher Precision methods in intermediate calculations increases the stability of algorithms and extends the validity of used algorithms for larger input values.
New version program summary
Title of program: HOTB_MPI Catalogue identifier: AEFQ_v4_0 Program summary URL: http://cpc.cs.qub.ac.uk/summaries/AEFQ_v4_0.html Program obtainable from: CPC Program Library, Queen’s University of Belfast, N. Ireland Licensing provisions: GNU General Public License, version 3 Number of lines in programs, including test data, etc.: 1711 Number of bytes in distributed programs, including test data, etc.: 11667 Distribution format: tar.gz Program language used: FORTRAN 90 with MPI extensions for parallelism Computer: Any computer with FORTRAN 90 compiler Operating system: Windows, Linux, FreeBSD, True64 Unix Has the code been vectorized of parallelized?: Yes, parallelism using MPI extensions. Number of CPUs used: up to 999 RAM(per CPU core): Depending on allocated binomial and trinomial matrices and use of precision; at least 500 MB Catalogue identifier of previous version: AEFQ_v1_0 Journal reference of previous version: Comput. Phys. Comm. 181, Issue 2, (2010) 420–425 Does the new version supersede the previous version? Yes Nature of problem: Calculation of matrices of three-particle harmonic oscillator brackets (3HOB) and four-particle harmonic oscillator brackets (4HOB) in a more effective way, which allows us to calculate matrix of the brackets up to a few hundred times more rapidly and more accurate than in a previous version. Solution method: Using external parallelization libraries and mutable precision we created a pack of numerical codes based on the methods of compact expressions of the three and four-particle harmonics oscillator brackets 3HOB, 4HOB, presented in [3]. Restrictions: For double precision version calculations can be done up to harmonic oscillator (HO) energy quanta e=28. For quadruple precision mantissa is equal to approximately 34 decimal digits, therefore calculations can be done up to HO energy quanta to e=52. Running time: The running time depends on the harmonic oscillator energy quanta, cluster size and the precision of intermediate calculations. More information on Table 1 for 3HOB and Table 2 for 4HOB. Reasons for a new version: The new program version expands the limits of harmonic oscillator energy quanta and gives shorter calculation time. Summary of revisions: 1.Additional features of new code HOTB_MPI: (a)Extend the limits of calculation of HOB First version was able to produce harmonic oscillator transformation brackets for three and four particles if E≤HO energy quanta. With this version of our program, if quadruple or arbitrary precision functions are being used, it is possible to calculate three and four particle harmonic oscillator transformation brackets for greater values of energy and momenta, while sustaining tolerable margin of error.(b)Calculation time As the code of previous version of program was redone using parallelism paradigma, it is now possible to reduce the calculation time of transformation matrices significantly, depending on the size of computing cluster, as the dimensions of matrices are growing very rapidly according to the energy and momenta values.2.Modifications or corrections to HOTB:New program HOTB_MPI is written in the FORTRAN 90 language, according to formulas described in [3]. In total there are six files: HOTB_mpi.f90, data_module.f90, matrix_tools.f90, dp_module.f90, qd_module.f90, and fm_module.f90. File HOTB_mpi.f90 contains main program for executing calculations. File data_module.f90 contains different kind of precision matrices for storage of binomial and trinomial values and also additional parameters.Detailed descriptions of parameters used by functions and subroutines are located in file README.txt.File matrix_tools.f90 contains functions needed to determine the dimensions of matrix, creation of state array and parallel calculation of desired matrix. (a)matrix_tools.f90i.subroutinematrix_4HOB_dimensionCalculates the dimension of 4HOB matrix.ii.subroutinematrix_3HOB_dimensionCalculates the dimension of 3HOB matrix,iii.subroutinematrix_3HOBCalculates the global state array which is used in parallel calculation of 3HOB matrix.iv.subroutinematrix_4HOBCalculates the global state array which is used in parallel calculation of 4HOB matrix.v.subroutinestate_array_3HOBCreates state array for 3HOB matrix output.vi.subroutinestate_array_4HOBCreates state array for 4HOB matrix output.vii.subroutinecalculate_3HOBPerforms parallel calculations of 3HOB matrix.viii.subroutinecalculate_4HOBPerforms parallel calculations of 4HOB matrix.*_module.f90 files contain modules for calculations respectively to the precision that is going to be used. We describe only functions of module dp_module.f90 as other modules are created replicating the structure of dp_module, except arbitrary precision module, which has several functions which will be described below.The naming convention for qd_module and fm_module is the same except that respectively qd_ and fm_ prefixes are added to function names. (a)dp_module.f90i.double precision functiondp_4HOBCalculates matrix element for 4HOB.ii.subroutinedp_binomFills the array of binomial coefficients.iii.subroutinedp_trinomFills the array of trinomial coefficients.iv.integer functiontriFunction for triangle condition testing.v.double precision functiondp_c6jFunction for 6-j coefficient calculation.vi.double precision functiondp_c9jFunction for 9-j coefficient calculationvii.double precision functiondp_kl0Function for Clebsch–Gordan coefficient with zero projection calculation.viii.double precision functiondp_gFunction for gamma element calculation.ix.double precision functiondp_3HOBCalculates three particle harmonic oscillator transformation bracket.Additional functions located in fm_module.f90, which are required for arbitrary precision calculation: (a)fm_module.f90i.type(fm) functionbinomasFunction for calculation of binomial value using FMLIB function Binomial.ii.type(fm) functionaccess_binomFunction for accessing triangular binomial matrix fm_bin.iii.type(fm) functioncheck_binFunction for checking if required binomial value is located in matrix fm_bin. If not, the value is calculated using FMLIB function Binomial.iv.subroutinewrite_binomFunction for writing calculated binomial value to triangular matrix fm_bin.","A. Stepšys and S. Mickevicius and D. Germanas and R.K. Kalinauskas",2014,"[""Science Direct"",""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Developmental metaplasticity in neural circuit codes of firing and structure","Firing-rate dynamics have been hypothesized to mediate inter-neural information transfer in the brain. While the Hebbian paradigm, relating learning and memory to firing activity, has put synaptic efficacy variation at the center of cortical plasticity, we suggest that the external expression of plasticity by changes in the firing-rate dynamics represents a more general notion of plasticity. Hypothesizing that time constants of plasticity and firing dynamics increase with age, and employing the filtering property of the neuron, we obtain the elementary code of global attractors associated with the firing-rate dynamics in each developmental stage. We define a neural circuit connectivity code as an indivisible set of circuit structures generated by membrane and synapse activation and silencing. Synchronous firing patterns under parameter uniformity, and asynchronous circuit firing are shown to be driven, respectively, by membrane and synapse silencing and reactivation, and maintained by the neuronal filtering property. Analytic, graphical and simulation representation of the discrete iteration maps and of the global attractor codes of neural firing rate are found to be consistent with previous empirical neurobiological findings, which have lacked, however, a specific correspondence between firing modes, time constants, circuit connectivity and cortical developmental stages.","Yoram Baram",2017,"[""Science Direct""]","Rejeitado: CR9","Rejeitado: CR9"
"A method to localize faults in concurrent C programs","We describe a new approach to localize faults in concurrent programs, which is based on bounded model checking and sequentialization techniques. The main novelty is the idea of reproducing a faulty behavior, in a sequential version of a concurrent program. In order to pinpoint faulty lines, we analyze counterexamples generated by a model checker, to the new instrumented sequential program, and search for a diagnostic value, which corresponds to actual lines in a program. This approach is useful to improve debugging processes for concurrent programs, since it tells which line should be corrected and what values lead to a successful execution. We implemented this approach as a code-to-code transformation from concurrent into non-deterministic sequential programs, which are used as inputs to existing verification tools. Experimental results show that our approach is effective and capable of identifying faults in our benchmark set, which was extracted from the SV-COMP 2016 suite.","Erickson H. da S. Alves and Lucas C. Cordeiro and Eddie B. de L. Filho",2017,"[""Science Direct"",""Engineering Village""]","Rejeitado: CR11","Rejeitado: CR11"
